citing_country,n_citations,n_citing_works,endogenous_any_n,endogenous_maj_n,scr_any,scr_majority,n_countries_cited,shannon_entropy,hhi,expected_scr,excess_endogeneity_any,excess_endogeneity_maj,endogeneity_ratio_any,endogeneity_ratio_maj,meets_threshold,z_score_any,p_value_any
DE,303,139,124,106,0.40924092409240925,0.34983498349834985,35,2.4608750285032612,0.15976285851626343,0.10138058932618998,0.30786033476621927,0.24845439417215986,4.0366792776838665,3.450709705116853,TRUE,0.7243344643367522,0.258
AT,33,18,16,7,0.48484848484848486,0.21212121212121213,11,1.9593244403411827,0.19571683521713268,0.012363486503193901,0.47248499834529095,0.19975772561801822,39.216161616161614,17.157070707070705,FALSE,NA,NA
CH,20,14,5,2,0.25,0.1,12,2.2630237198075984,0.12666666666666668,0.017514939212858027,0.23248506078714198,0.08248506078714198,14.273529411764706,5.709411764705883,FALSE,NA,NA
RU,8,8,7,5,0.875,0.625,3,0.9184277849930976,0.4305555555555556,0.0041211621677313005,0.8708788378322687,0.6208788378322687,212.31875,151.65625,FALSE,NA,NA
ES,3,1,3,0,1,0,3,0.9502705392332347,0.44,0.0206058108386565,0.9793941891613435,-0.0206058108386565,48.53,0,FALSE,NA,NA
LU,3,1,2,0,0.6666666666666666,0,3,1.0986122886681096,0.3333333333333333,0.00247269730063878,0.6641939693660278,-0.00247269730063878,269.6111111111111,0,FALSE,NA,NA
BE,1,1,0,0,0,0,2,0.6931471805599453,0.5,0.010508963527714816,-0.010508963527714816,-0.010508963527714816,0,0,FALSE,NA,NA
NL,1,1,1,0,1,0,3,1.0986122886681096,0.3333333333333333,0.045950958170204,0.954049041829796,-0.045950958170204,21.76233183856502,0,FALSE,NA,NA
NO,1,1,0,0,0,0,1,-0,1,0.005975685143210385,-0.005975685143210385,-0.005975685143210385,0,0,FALSE,NA,NA
