id,publication_year,countries_str
W1587088164,1999,NA
W1523250209,2011,AU
W1531027952,1990,NA
W196501055,1998,NA
W2893637530,2011,NA
W2993289147,2015,NA
W1545025528,2011,NA
W2185336139,2010,NA
W2606194557,2016,NA
W322747866,2012,NA
W2203635993,2015,NA
W566267450,1995,NA
W2894195614,2011,NA
W651037612,1993,NA
W2577529708,2016,DE
W1934193247,1989,NA
W1510205845,1976,NA
W1724181667,2012,DE;SE
W3216909802,1989,NA
W570384948,1990,NA
W2885059493,2016,NA
W193524605,2010,IT;US
W406915188,1999,NA
W152166928,2009,NA
W219224239,2009,NA
W2728959555,2012,NA
W2599911942,2017,NA
W1518149811,1996,DE;US
W195567734,2008,BE
W2885957918,2012,NA
W1605174196,1985,NA
W1553229631,1998,NA
W2134289803,2007,SE
W261272276,2004,NA
W1487677826,1993,NA
W595945875,2003,NA
W163222559,2005,NA
W2894244841,2011,NA
W2950577311,2013,CN;CZ;US
W2142943833,2007,US
W100967899,2008,NA
W2149668773,2003,US
W1569791325,1999,NA
W2810306566,2014,NA
W2166957049,2008,IT;US
W565171473,2007,NA
W2318014179,1999,NA
W656921300,1995,NA
W1487429035,2003,NA
W2885079459,2012,NA
W2612476266,1998,NA
W2548403034,2016,NA
W1866830055,2003,US
W581099993,2014,NA
W169850822,2002,US
W2337179679,2012,CH
W237179353,2001,NA
W2810407344,2014,NA
W2278518974,2012,NA
W7040207340,NA,NA
W294063226,2002,NA
W2588408798,2005,NA
W1577749430,2009,NA
W1575309554,2010,NA
W2572413432,2015,NA
W1740921282,2000,NA
W3023178173,2003,NA
W1525354585,2006,NA
W1569984076,2002,NA
W7031625778,2015,NA
W182489228,1996,NA
W6984278789,1996,NA
W6983855428,NA,NA
W371467908,2007,NA
W2909114460,1992,NA
W209279658,1984,NA
W2513162068,2009,NA
W647069096,1988,NA
W3143071804,1997,NA
W1521336220,2006,NA
W787553784,2009,NA
W2400574415,2013,ES
W395365565,2011,NA
W2892020137,2009,NA
W3012819051,2008,NA
W3153799196,2007,NA
W114496772,2013,NA
W155584418,2002,NA
W1547982474,1904,NA
W1537982310,1999,NA
W1540682331,1967,NA
W2297938547,1999,NA
W136640197,2010,DE
W153826199,2009,NA
W569110792,1997,NA
W2886227953,2012,NA
W1698440903,2007,NA
W2887946967,2012,NA
W1500977665,1999,GB
W2100281570,2008,NA
W3145894769,2000,NA
W2255996305,2002,NA
W2811491803,2014,NA
W1523747722,2007,NA
W650654099,1952,NA
W2533299579,2016,NA
W2151631470,1992,US
W856167857,1990,US
W2886348218,2012,NA
W1556818555,2010,DE;NL
W50505036,1998,NA
W607045018,1968,NA
W1548663377,2006,US
W1550505192,2010,NA
W2887005941,2013,NA
W566087743,2006,NA
W626742736,1998,NA
W2125247417,2012,NA
W3006182496,2006,NA
W2810029345,2014,NA
W224906013,1999,NA
W2547472686,2010,NA
W2122172122,2011,US
W1877312604,2007,NA
W1603503794,2003,NA
W46186211,2010,SE
W2886410867,2016,NA
W341123122,2000,NA
W2894408726,2011,NA
W2894122344,2011,NA
W1480850632,1997,NA
W3003363292,2003,NA
W37352174,2006,GB
W1739277643,1994,NA
W297317206,2008,NA
W256284653,2001,NA
W3168218413,2007,NA
W1595896281,2004,NA
W1563460837,1981,NA
W2115983085,2010,NA
W2147257990,2008,NA
W2758054112,2006,NA
W2809693724,2017,NA
W2810260703,2014,NA
W594220354,1977,NA
W341970972,1969,NA
W2205363709,2010,ES
W2893656983,2011,NA
W6602650,2011,NA
W2042349004,1987,NA
W2547255185,2016,IN
W1536529292,1994,NA
W584357261,1981,NA
W2893882452,2011,US
W2582035219,2016,NA
W2891772363,2018,NA
W1939882552,2010,US
W1563142988,1996,NA
W2893231105,2011,NA
W2894394321,2011,NA
W567603628,2005,NA
W1536577016,1952,NA
W2125887849,2005,AU
W184920414,2004,NA
W643991976,2000,NA
W2886653337,2016,NA
W1888270175,1998,NA
W172214095,2005,NA
W1571096757,1988,US
W614888608,1986,NA
W14151293,2008,NA
W2331959951,2008,US
W2893962444,2011,NA
W622302209,2002,NA
W187371574,2007,FR
W2404416613,2013,GB;US
W2886135112,2018,NA
W2887884979,2012,NA
W1572543779,1963,NA
W2787118623,2016,DE
W3095383182,1929,NA
W422872655,2003,NA
W2886714443,2016,NA
W1899730501,2006,NA
W2999113745,2019,NA
W3150238174,1988,NA
W191409295,2004,GB
W591308057,1921,NA
W1927175093,2009,GB
W3205989117,2021,NA
W2734955297,1996,NA
W3216985449,2003,NA
W1507881917,1989,NA
W2188459966,2010,NA
W3014967260,2013,NA
W1606500067,1992,NA
W2166394306,1993,US
W169386013,1998,NA
W1494404649,2001,GB
W2616456470,2012,FR
W2524450840,2007,NA
W1549412372,1997,NA
W2810109808,2014,NA
W204049287,2002,NA
W612824273,1997,NA
W237041105,2003,NA
W620901651,2004,NA
W2893905454,2011,NA
W2885831863,2013,NA
W2887532420,2012,NA
W2614670623,2013,NA
W324996784,2013,NA
W571861227,1996,NA
W2124376143,2007,NA
W57270252,2011,DE;US
W2098420572,2010,US
W1574320860,2008,MX
W401318598,2000,NA
W2099873701,2007,US
W88677476,2014,NA
W2401109438,2004,DE
W2810619563,2014,NA
W3217187966,2009,FR
W2520746697,2002,NA
W2132827946,2003,US
W2138615112,2007,US
W2886117815,2013,NA
W2257563020,2010,NA
W626508504,1979,NA
W612319109,2010,NA
W1568999108,2010,NA
W112366351,1993,NA
W2279261172,2011,FR
W1013171181,1984,NA
W599125773,2000,NA
W2167072947,2002,US
W92933533,2001,NA
W2344257400,2015,NA
W2577962306,2012,ES
W2148249960,2013,DE
W2110725936,2003,ES;FR
W4206364747,2025,NA
W2520481048,1995,GB
W70162963,2015,DE
W2465689519,2015,US
W2029264742,2006,US
W3101650665,2005,NA
W28202208,2018,NA
W6887593785,2017,DE
W2889198729,2018,ES
W6889708957,2012,NA
W3142229559,2007,KR
W2614137764,2009,FR
