citing_country,citing_year,n_citations,scr_any,scr_majority
NL,2019,45,0.4222222222222222,0.13333333333333333
NL,2020,1,1,0
NL,2022,40,0.425,0.25
NO,2007,1,0,0
NO,2008,2,0,0
NO,2009,4,0,0
NO,2010,5,0.2,0.2
NO,2011,2,0,0
NO,2012,6,0.6666666666666666,0.16666666666666666
NO,2013,10,0.7,0
NO,2014,2,1,0
NO,2018,1,1,1
NO,2019,1,0,0
NZ,2012,4,0,0
NZ,2013,2,0,0
PL,2009,6,0,0
PL,2011,27,0.14814814814814814,0.14814814814814814
PL,2012,20,0.15,0.05
PL,2013,25,0.36,0.04
PL,2014,9,0.2222222222222222,0.1111111111111111
PL,2015,2,1,1
PL,2016,6,0,0
PL,2017,21,0.38095238095238093,0.38095238095238093
PL,2018,2,0,0
PL,2019,12,0,0
PL,2022,14,0.35714285714285715,0.21428571428571427
PT,2014,4,0.25,0
PT,2017,12,0.3333333333333333,0.16666666666666666
PT,2018,4,0.25,0
RO,2018,3,0.3333333333333333,0
RS,2011,6,0,0
RS,2012,6,0.3333333333333333,0
RS,2022,1,1,0
RU,2008,4,0,0
RU,2009,1,0,0
RU,2012,4,0,0
RU,2016,1,0,0
RU,2017,15,0.4,0.06666666666666667
RU,2018,3,1,0.3333333333333333
RU,2019,3,0.6666666666666666,0.6666666666666666
RU,2020,3,1,1
RU,2022,2,0.5,0
SE,2010,2,1,0.5
SE,2012,6,0.5,0.16666666666666666
SE,2013,7,0.5714285714285714,0.5714285714285714
SE,2014,6,1,0
SE,2015,3,0.3333333333333333,0
SE,2017,2,0,0
SI,2009,1,0,0
TH,2011,2,1,0.5
TN,2019,2,0,0
TR,2012,8,0.5,0
TR,2017,4,0.25,0.25
TW,2011,1,0,0
TW,2012,7,0.5714285714285714,0
TW,2013,4,0.25,0.25
TW,2014,12,0.08333333333333333,0.08333333333333333
TW,2015,1,0,0
TW,2016,1,1,1
TW,2017,17,0.23529411764705882,0.17647058823529413
TW,2018,1,0,0
TW,2019,5,0.2,0.2
TW,2022,4,0.25,0
US,2007,33,0.7272727272727273,0.696969696969697
US,2008,35,0.8,0.8
US,2009,60,0.6666666666666666,0.6666666666666666
US,2010,18,0.5555555555555556,0.5
US,2011,67,0.7164179104477612,0.5522388059701493
US,2012,120,0.5833333333333334,0.4
US,2013,238,0.6554621848739496,0.5252100840336135
US,2014,213,0.647887323943662,0.48826291079812206
US,2015,22,0.45454545454545453,0.09090909090909091
US,2016,51,0.6274509803921569,0.35294117647058826
US,2017,216,0.6666666666666666,0.5555555555555556
US,2018,77,0.6363636363636364,0.37662337662337664
US,2019,30,0.8333333333333334,0.23333333333333334
US,2022,38,0.6052631578947368,0.47368421052631576
UY,2008,1,0,0
ZA,2017,1,0,0
