work_id,openalex_id,ref_quality,confidence,cited_countries,cited_year
2481,W2031827150,xml_bibl,1,AT;IE;IT,2014
2488,W2555162864,xml_bibl,0.9628865979381442,GB,2015
2490,W1970948046,xml_bibl,1,PL,2013
2491,W2100290037,xml_bibl,1,GB,2015
2491,W2158452868,xml_bibl,1,GB,2010
2507,W2081514874,xml_bibl,1,US,2007
2507,W2146793826,xml_bibl,1,PL,2011
2507,W2040162312,xml_bibl,1,US,2004
2507,W2092743872,xml_bibl,1,DE;GB,2011
2519,W2028695285,xml_bibl,1,FR,2014
2519,W2138621811,xml_bibl,1,US,1999
2521,W2174706414,xml_bibl,1,US,2012
2521,W1988361130,xml_bibl,1,US,2013
2521,W2071198821,xml_bibl,1,US,2013
2523,W1821655122,xml_bibl,1,IT,2014
2523,W33285781,xml_bibl,1,BE;CA;IE,2014
2523,W2264949490,xml_bibl,1,DE,2015
2532,W6943815202,xml_bibl,1,NL,2012
2532,W6906255581,xml_bibl,1,NL,2014
2533,W1986930961,xml_bibl,1,US,2009
2533,W2137917541,xml_bibl,1,IT,2011
2533,W2129278567,xml_bibl,1,GB,2011
2546,W2098486530,xml_bibl,1,US,2002
2546,W1971670344,xml_bibl,1,US,1989
2560,W2243521285,xml_bibl,1,AU;GB,2015
2561,W2018865080,xml_bibl,1,FR,2014
2564,W1605799775,xml_bibl,1,US,2013
2585,W294466356,xml_bibl,1,DE;GB,2013
2586,W160318044,xml_bibl,1,US,2012
2587,W2131681506,xml_bibl,1,BE;FR;GB,2008
2587,W1976566911,xml_bibl,1,US,1999
2590,W4252015580,xml_bibl,1,US,1994
2591,W2095503871,xml_bibl,1,GB,2012
2591,W1993977866,xml_bibl,1,DE,2011
2591,W2066216990,xml_bibl,1,DE;FI,2006
2591,W2339562889,xml_bibl,1,DE,2015
2591,W2141515438,xml_bibl,1,FI,2011
2593,W2104788631,xml_bibl,1,IT,2013
2600,W2048084432,xml_bibl,1,GB;US,2013
2606,W2037022736,xml_bibl,1,US,2009
2606,W2037022736,xml_bibl,1,US,2009
2610,W2161019418,xml_bibl,1,AU,2013
2610,W2025882237,xml_bibl,1,CA,2007
2610,W2146793826,xml_bibl,1,PL,2011
2615,W1950693968,xml_bibl,1,IT;US,2014
2624,W2914973542,xml_bibl,1,US,1987
2624,W1953598269,xml_bibl,1,FR,2011
2624,W1758651971,xml_bibl,1,FR,2012
2627,W2141034612,xml_bibl,1,US,2012
2627,W1994134586,xml_bibl,1,US,2011
2639,W2495250808,xml_bibl,1,US,2013
2640,W2503391776,xml_bibl,1,DE,2012
2645,W2162969358,xml_bibl,1,NL;US,2008
2651,W1964642694,xml_bibl,1,IL;US,2010
2652,W1988361130,xml_doi_only,1,US,2013
2653,W1994261170,xml_bibl,1,CA,1997
2653,W1991432298,xml_bibl,1,CA,2005
2653,W2039952808,xml_bibl,1,GB;US,2007
2653,W2161896195,xml_bibl,1,CA;US,1994
2653,W2134911674,xml_bibl,1,SE,2011
2653,W2036293496,xml_bibl,1,US,1998
2654,W2142305795,xml_bibl,1,GB,2013
2657,W1986699704,xml_bibl,1,IT,2013
2659,W2019682007,xml_bibl,1,US,2010
2659,W1833236779,xml_bibl,1,US,2010
2659,W1604075113,xml_bibl,1,GB;NZ,2005
2659,W1996460024,xml_bibl,1,CA,2008
2659,W2000742945,xml_bibl,1,US,1997
2659,W2049380851,xml_bibl,1,JP,2000
2659,W2111799631,xml_bibl,1,US,1999
2661,W2131681506,xml_bibl,1,BE;FR;GB,2008
2661,W1971565588,xml_bibl,1,CA,2015
2661,W1983612178,xml_bibl,1,FR;NL,2012
2661,W2128456768,xml_bibl,1,TH;US,2015
2661,W2209876022,xml_bibl,1,GB,2015
2661,W1930259935,xml_bibl,1,CN,2015
2661,W2465689519,xml_bibl,1,US,2015
2661,W1996673766,xml_bibl,1,US,2009
2661,W2123835189,xml_bibl,1,US,2012
2661,W1203053091,xml_bibl,1,US,2015
2666,W2037186474,xml_bibl,1,GB,2014
2669,W2019773980,xml_bibl,1,GB;US,2015
2680,W2508577670,xml_bibl,1,IT,2009
2680,W2003108218,xml_bibl,1,IT,2011
2680,W2142045498,xml_bibl,1,IT,2014
2700,W122282742,xml_bibl,1,DE;ES;IE,2012
2700,W2045068659,xml_bibl,1,DE;US,2014
2700,W2078273886,xml_bibl,1,FI,2012
2700,W198166843,xml_bibl,1,DE;ES,2012
2700,W1950893908,xml_bibl,1,DE,2011
2705,W2157004265,xml_bibl,1,GB;US,2014
2705,W2034194047,xml_bibl,1,CA,2013
2705,W6959486025,xml_doi_only,1,CA,2015
2720,W4241829171,xml_bibl,1,GB,2008
2720,W2096394736,xml_bibl,1,GB,2013
2720,W2064539579,xml_doi_only,1,CA,2007
2721,W2474864565,xml_bibl,1,CH,2015
2733,W2028695285,xml_bibl,1,FR,2014
2735,W2237428880,xml_bibl,1,AU,2015
2737,W1999797504,xml_bibl,1,AU,2014
2739,W2028695285,xml_bibl,1,FR,2014
2746,W6955046807,xml_bibl,1,IT;JP,2012
2751,W2168094638,xml_bibl,1,CA,2013
2751,W1997586364,xml_bibl,1,US,1997
2751,W2043316506,xml_bibl,1,US,2012
2751,W1530315115,xml_bibl,1,US,2011
2751,W938614436,xml_bibl,1,US,2013
2751,W2234303208,xml_bibl,1,US,2013
2778,W2028695285,xml_bibl,1,FR,2014
2778,W2292429314,xml_bibl,0.9529161390178698,BE,2016
2797,W2164170827,xml_bibl,1,US,2013
2797,W2320952770,xml_bibl,1,CA,2013
2797,W4230997226,xml_bibl,1,US,2009
2800,W2150598871,xml_bibl,1,US,2010
2800,W2152699595,xml_bibl,1,BE,2015
2800,W2088932924,xml_bibl,1,BD,2006
2800,W2159932043,xml_bibl,1,US,2012
2800,W1838824760,xml_bibl,1,NL;US,2013
2800,W2109790075,xml_bibl,1,US,2009
2800,W2321792051,xml_bibl,1,DK,2010
2800,W2066212671,xml_bibl,1,US,2012
2800,W2142119181,xml_bibl,1,PH;US,2012
2800,W2155594896,xml_bibl,1,US,2003
2800,W1830074637,xml_bibl,1,US,2013
2807,W2293665468,xml_bibl,1,DE;IN,2015
2807,W1982517434,xml_bibl,1,BA,2014
2814,W1912888020,xml_bibl,1,AT,2015
2815,W2088066974,xml_bibl,1,GB,1999
2834,W2579836477,xml_bibl,1,IT,2014
2838,W2028695285,xml_bibl,1,FR,2014
2838,W2047583926,xml_bibl,1,DE,2009
2844,W2076365206,xml_bibl,1,US,2011
2844,W2147773319,xml_bibl,1,NL,2014
2844,W2031886924,xml_bibl,1,US,2012
2844,W2018865080,xml_bibl,1,FR,2014
2844,W2328918536,xml_bibl,1,DE;NL,2015
2844,W2139445257,xml_bibl,1,BE,2012
2844,W2149478650,xml_bibl,1,PL,2013
2844,W1978581818,xml_bibl,1,BE;PL;US,2014
2853,W2025237431,xml_bibl,1,US,2014
2853,W2088091054,xml_bibl,1,GB,2015
2853,W1981080848,xml_bibl,1,GB,2008
3762,W126040988,xml_bibl,1,IT,2013
3762,W123908909,xml_bibl,1,CA;NL;US,2005
3762,W162736920,xml_bibl,1,DE;GR;NL,2013
3762,W55599575,xml_bibl,1,CY;IT,2012
3936,W2953001331,xml_doi_only,1,US,2013
6257,W2738966790,xml_bibl,1,US,2017
6258,W2893425640,xml_bibl,1,GB;US,2017
6258,W2793803988,xml_bibl,1,CH,2017
6258,W2791532949,xml_bibl,1,DE;IT;US,2017
6268,W2564784331,xml_bibl,1,US,2016
6273,W2765151303,xml_bibl,1,DE,2017
6273,W2609343816,xml_bibl,1,US,2017
6276,W2606868508,xml_bibl,1,FR;SI,2017
6276,W2312191608,xml_bibl,1,FR,2012
6276,W2160632223,xml_bibl,1,NL,2013
6276,W2068070365,xml_bibl,1,FR,2015
6276,W2783132087,xml_bibl,1,FR,2016
6282,W1894957975,xml_bibl,1,IT;US,2015
6282,W2128955271,xml_bibl,1,US,2013
6282,W2586601519,xml_bibl,1,SI,2017
6284,W2416130262,xml_bibl,1,CA;NO;US,2010
6290,W1967847028,xml_bibl,1,US,1979
6290,W2339875341,xml_bibl,1,CH,2016
6290,W2118129210,xml_bibl,1,DK,2014
6290,W2127418522,xml_bibl,1,CA,2015
6290,W2122682621,xml_bibl,1,AU;GB,2011
6290,W2051995667,xml_bibl,1,CA,2009
6290,W2150220236,xml_bibl,1,NL,2009
6290,W1996965557,xml_bibl,1,CA,2007
6291,W2153318297,xml_bibl,1,ES,2014
6291,W2100209351,xml_bibl,1,GB,2009
6291,W2086226461,xml_bibl,1,US,2011
6291,W2043782339,xml_bibl,1,US,2013
6292,W4231130478,xml_bibl,1,US,2004
6293,W3184101687,xml_bibl,1,IT,2021
6294,W2785612464,xml_bibl,1,DE,2017
6295,W2069188354,xml_doi_only,1,GB,1989
6295,W2058071972,xml_doi_only,1,BE;DE;NL,2014
6295,W2524164223,xml_doi_only,1,US,2016
6295,W2552787576,xml_doi_only,1,CA,2016
6299,W2321883869,xml_bibl,1,US,1991
6301,W2577962306,xml_bibl,0.960562015503876,ES,2012
6303,W2015646678,xml_bibl,1,US,2009
6303,W2166830886,xml_bibl,1,GB,2011
6303,W2082233681,xml_bibl,1,NL,2014
6308,W2157922230,xml_doi_only,1,AU;GB,2014
6308,W4212842610,xml_doi_only,1,GB,2016
6308,W2762344494,xml_doi_only,1,IT,2017
6310,W2111347279,xml_bibl,1,US,2006
6310,W2126786229,xml_bibl,1,DE,2015
6310,W2065769502,xml_bibl,1,US,2000
6310,W1992389917,xml_bibl,1,SE,2015
6314,W352046256,xml_bibl,1,GB,2015
6318,W2041971736,xml_bibl,1,US,2012
6318,W2086064135,xml_bibl,1,AT;GB,2014
6318,W1147131037,xml_bibl,1,US,2015
6318,W1982609533,xml_bibl,1,US,2004
6320,W4255647723,xml_bibl,1,CA;MX,2015
6320,W4249075320,xml_bibl,1,CN;IN,2015
6321,W2313928532,xml_bibl,1,AU;FI;FR;GB;NL;NZ;SE;US,2016
6321,W2736430167,xml_bibl,1,BE;CH;ES;GB;HU;IE;IT;NL,2017
6324,W2786298913,xml_bibl,1,ES,2017
6324,W2785836960,xml_bibl,1,FR,2017
6324,W2434876547,xml_bibl,1,FR,2016
6324,W2120987116,xml_bibl,1,NL;US,2011
6324,W2787623536,xml_bibl,1,AT;DE;GR,2017
6324,W2762447329,xml_bibl,1,BE;DE;FR,2017
6324,W2094883634,xml_bibl,1,FR,2014
6327,W2014864037,xml_bibl,1,AU,2006
6327,W2057525273,xml_bibl,1,US,2008
6327,W4211148787,xml_bibl,1,GB,2001
6327,W2159553441,xml_bibl,1,FI;GB;SE,2014
6327,W2126552603,xml_bibl,1,GB,2006
6330,W2173160936,xml_bibl,1,PL,2015
6334,W2025052569,xml_bibl,1,GB,2011
6334,W2758848126,xml_bibl,1,DE,2017
6334,W2103967878,xml_bibl,1,GB,2009
6337,W2131681506,xml_bibl,1,BE;FR;GB,2008
6341,W1550613562,xml_bibl,1,US,2012
6341,W2886284861,xml_bibl,1,CA;IT;US,2018
6344,W2470484508,xml_bibl,1,BE;GB;IL;NL,2016
6355,W1940888119,xml_bibl,1,IT,2002
6363,W2610569634,xml_bibl,1,LU;MT,2017
6363,W2743076395,xml_bibl,1,LU,2016
6363,W2567980866,xml_bibl,1,GR;LU,2016
6370,W2413317570,xml_bibl,1,MA;QA,2016
6370,W2535284759,xml_bibl,1,MA,2015
6371,W2296881200,xml_bibl,1,IL,2016
6378,W2587239300,xml_bibl,1,AT;CA;CH;DE;ES;FR;GB;HR;IE;LT,2017
6386,W2070907364,xml_bibl,1,CH;ES;FR;GB;HU;IT;NL;PL;US,2012
6386,W151498629,xml_bibl,1,IT,2012
6391,W2035052526,xml_bibl,1,US,2014
6398,W1993829301,xml_bibl,1,IT;US,2014
6398,W2089560202,xml_bibl,1,FR,2012
6405,W2037397438,xml_bibl,1,US,1997
6407,W2765151303,xml_bibl,1,DE,2017
6407,W965015825,xml_bibl,1,CH,2013
6407,W2092743872,xml_bibl,1,DE;GB,2011
6410,W2174706414,xml_bibl,1,US,2012
6412,W2169530826,xml_bibl,1,US,2014
6418,W2560341749,xml_bibl,1,GB,2016
6418,W2086137532,xml_bibl,1,IT;US,2015
6422,W2762344494,xml_bibl,1,IT,2017
6422,W2150220236,xml_bibl,1,NL,2009
6422,W150292108,xml_bibl,1,NL,2014
6422,W2076473563,xml_bibl,1,NL,2010
6422,W2761232955,xml_bibl,1,US,2017
6423,W1493769376,xml_bibl,1,FR;US,2015
6428,W2561816456,xml_doi_only,1,RU,2016
6435,W1966509134,xml_bibl,1,US,2010
6437,W2592825817,xml_bibl,1,ES,2017
6437,W3174655110,xml_bibl,1,ES;FR,2023
6438,W1863863609,xml_bibl,1,GB;US,2015
6442,W2523604920,xml_bibl,1,IT,2016
6442,W2068695859,xml_bibl,1,GB,2012
6443,W2415520783,xml_bibl,1,US,2015
6448,W2110037782,xml_bibl,1,GB,2012
6455,W2483388053,xml_bibl,1,US,2016
6456,W1979223988,xml_bibl,1,AU;GB,2015
6465,W2111293476,xml_bibl,1,GB,2012
6469,W2002077363,xml_bibl,1,CA,2012
6469,W950355994,xml_bibl,1,GB,2013
6469,W2157922230,xml_bibl,1,AU;GB,2014
6471,W2579836477,xml_bibl,1,IT,2014
6471,W2053475323,xml_bibl,1,US,2010
6471,W2146366995,xml_bibl,1,US,2010
6471,W2160355410,xml_bibl,1,US,2012
6471,W2170536933,xml_bibl,1,CA;US,2014
6479,W2181995626,xml_bibl,1,US,2015
6483,W2744349792,xml_doi_only,1,MN,2017
6483,W2748360044,xml_doi_only,1,DE,2017
6483,W2226205206,xml_doi_only,1,US,2012
6486,W2214276702,xml_bibl,1,US,2015
6504,W2283850017,xml_bibl,1,US,2015
6505,W1570098300,xml_bibl,1,US,2015
6505,W2004763266,xml_bibl,1,US,2009
6505,W1784290353,xml_bibl,1,BR;DE,2014
6512,W6892666194,xml_bibl,1,FR,2017
6514,W1969301668,xml_bibl,1,US,2004
6514,W2021198451,xml_bibl,1,US,2011
6514,W2470175097,xml_bibl,1,US,2016
