author_id,n_citations_total,n_works,n_countries_cited,shannon_entropy,hhi,top_country,top_country_share,self_cite_rate,author_name,author_countries,max_entropy,entropy_norm
https://openalex.org/A5054595225,193,3,47,3.3164953310523724,0.053451099358372035,US,0.12435233160621761,0.11724137931034483,Mohd Kamal Othman,MY,3.8501476017100584,0.8613943344871604
https://openalex.org/A5068973323,193,3,47,3.3164953310523724,0.053451099358372035,US,0.12435233160621761,0.11724137931034483,Nurfarahani Norman Anuar,MY,3.8501476017100584,0.8613943344871604
https://openalex.org/A5026253993,129,3,41,3.1607827799349297,0.06652244456462952,GR,0.17054263565891473,0.22,Konstantinos Kotis,GR,3.713572066704308,0.8511435144276159
https://openalex.org/A5021496270,250,4,47,3.160746908201349,0.062176,GR,0.108,0.34177215189873417,Alessandro Adamou,IT,3.8501476017100584,0.8209417495572093
https://openalex.org/A5065358832,208,8,45,3.143297689195309,0.06832470414201183,US,0.13942307692307693,0.1527777777777778,Emad Mohamed,BD;GB,3.8066624897703196,0.8257358506676972
https://openalex.org/A5058352961,391,5,53,3.1314697691150615,0.0773869872646045,IT,0.1815856777493606,0.26181818181818184,Roberto Pierdicca,IT,3.970291913552122,0.7887253222933457
https://openalex.org/A5081152655,74,3,26,3.1273736722929826,0.048940832724616516,GB,0.08108108108108109,0.18181818181818182,Darja Fišer,SI,3.258096538021482,0.9598775345656632
https://openalex.org/A5023823294,217,3,41,3.0792771968545902,0.06674594916010108,GR,0.12442396313364056,0.27586206896551724,Yumeng Hou,CH,3.713572066704308,0.8291954865944915
https://openalex.org/A5025020025,205,5,40,3.058952206919129,0.06655562165377751,GR,0.12682926829268293,0.2517985611510791,Davide Picca,CH,3.6888794541139363,0.8292361528668833
https://openalex.org/A5047835586,152,3,42,3.024741315690278,0.08067867036011081,IT,0.16447368421052633,0.32,Laura Corchia,IT,3.7376696182833684,0.8092586088653488
https://openalex.org/A5055882886,152,3,42,3.024741315690278,0.08067867036011081,IT,0.16447368421052633,0.32,Lucio Tommaso De Paolis,IT,3.7376696182833684,0.8092586088653488
https://openalex.org/A5015201403,62,3,27,3.009959438897937,0.06711758584807492,US,0.1774193548387097,0.0975609756097561,Saeedeh Momtazi,IR,3.295836866004329,0.9132610506135358
https://openalex.org/A5028298939,267,6,40,3.009315850985772,0.07455568180224158,US,0.17228464419475656,0.19072164948453607,Sarah Kenderdine,CH,3.6888794541139363,0.8157804797957556
https://openalex.org/A5072253563,93,4,29,3.0060873688817042,0.06463174933518326,IT,0.13978494623655913,0.1323529411764706,Imanol Muñoz-Pandiella,ES,3.367295829986474,0.8927304046504816
https://openalex.org/A5023856062,118,3,34,2.97584318860942,0.08259120942257972,US,0.211864406779661,0.1951219512195122,Victoria L. Lemieux,CA,3.5263605246161616,0.8438851240070909
https://openalex.org/A5108768608,170,5,35,2.9503886444733043,0.07515570934256055,US,0.13529411764705881,0.2018348623853211,Raheem Sarwar,GB,3.5553480614894135,0.8298452341224003
https://openalex.org/A5063609310,130,3,30,2.9397916648633093,0.07562130177514793,GB,0.15384615384615385,0.660377358490566,Joseph Nockels,GB,3.4011973816621555,0.8643402116894026
https://openalex.org/A5018711853,129,3,28,2.938101529274742,0.07120966288083648,GB,0.15503875968992248,0.7872340425531915,Achim Rabus,DE,3.332204510175204,0.8817290536349042
https://openalex.org/A5100413180,424,13,54,2.936904651577573,0.10174884300462798,US,0.21462264150943397,0.2276923076923077,Haitao Liu,CN,3.9889840465642745,0.736253797281325
https://openalex.org/A5091524866,241,5,40,2.9273675258109595,0.09178560975189821,IT,0.2157676348547718,0.1945945945945946,George Caridakis,GR,3.6888794541139363,0.7935655155514181
https://openalex.org/A5065291002,140,4,28,2.9257710424836954,0.07142857142857142,GB,0.15,0.7843137254901961,Christel Annemieke Romein,AT;CH;NL,3.332204510175204,0.8780286544687083
https://openalex.org/A5005993906,250,10,41,2.924065955840771,0.08841600000000001,US,0.2,0.5507246376811594,David Joseph Wrisley,AE,3.713572066704308,0.7873998143345037
