citing_country,n_years,slope,r_squared,p_value
CH,16,-0.012813246630914972,0.12701207164035735,0.17544716100099073
ES,18,-0.012049402175890222,0.09337174243888618,0.21753762790388884
US,19,-0.009489300827483506,0.4543341916015379,0.001553026981289414
GB,19,-0.008420505985417154,0.24849426390691184,0.029827437563728312
CA,18,-0.005756058175494449,0.03893192096705834,0.4325784958112411
DE,17,-0.005607421632381108,0.0660190337058727,0.31946883519858305
GR,17,-0.0033366402443513947,0.03490819415565675,0.4727363923347774
IT,19,-0.00333552510863442,0.02421984127656058,0.5246428201702479
AT,17,-0.0029240995218622716,0.012974084056217267,0.6633542487500077
NL,18,-0.0016401686149379742,0.003388278237786779,0.8185395493636698
BE,17,0.0015168785527485697,0.0019884442116310714,0.8650600547903975
AU,18,0.0027695452616090708,0.004303328423938401,0.7959333874853023
CN,18,0.004232597977529495,0.06317801229551988,0.3143612763741165
IL,14,0.00590347889841687,0.06184676245711659,0.3912534306766625
FR,19,0.009468601682681847,0.13958634970744746,0.11510307799301274
