citing_country,n_years,slope,r_squared,p_value
BE,19,-0.014684384761797368,0.3294893438802125,0.010169513020728918
JP,19,-0.011969246754278448,0.22594056089892348,0.03970561379221196
CH,18,-0.011499519726972541,0.1357019616013151,0.13253648556028166
ES,19,-0.011090285242860825,0.13587969866218477,0.12043113856355482
US,19,-0.00905993591298005,0.8718601342053771,5.2737776256155585e-9
DE,19,-0.004910370886409859,0.20981700327064387,0.048583643585021305
NL,19,-0.0038474111864211387,0.051646293185926145,0.3494438972688877
CA,19,-0.003279195007082253,0.029708597156356306,0.48043018166700857
IT,19,-0.0030602104355356317,0.11323440508661939,0.15892870359376934
GB,19,-0.002167971021885943,0.16128459054263905,0.08832175450636778
SE,19,-0.00125612340040344,0.005813798967100764,0.7563732349195886
CN,19,9.075528722117735e-4,0.0019489306186986032,0.8575814498747837
AU,19,0.001940703052812686,0.008997426432201654,0.6992999245234408
FR,19,0.0039925196028091255,0.04355700127203459,0.39119266503867434
IN,19,0.004993009218217795,0.06288537400370509,0.30041838235819274
