id,publication_year,type,countries_str,n_countries
https://openalex.org/W2913520302,2006,book,NA,0
https://openalex.org/W2126602876,2012,article,US,1
https://openalex.org/W2308634414,2016,article,US,1
https://openalex.org/W2293938906,2008,article,BE;GB;US,3
https://openalex.org/W2011397895,2013,article,US,1
https://openalex.org/W2151637286,2008,article,US,1
https://openalex.org/W2144858034,2012,article,NA,0
https://openalex.org/W2790470452,2009,article,NA,0
https://openalex.org/W2133714788,2007,book-chapter,US,1
https://openalex.org/W1539911810,2010,article,NA,0
https://openalex.org/W1997466122,2002,article,NA,0
https://openalex.org/W2108486354,2011,article,US,1
https://openalex.org/W1997431089,2012,article,NA,0
https://openalex.org/W2130566090,2012,article,US,1
https://openalex.org/W1570298723,2013,article,US,1
https://openalex.org/W2061818973,1976,article,NA,0
https://openalex.org/W2007805290,2013,article,US,1
https://openalex.org/W2478093897,2005,book,AT;TH;US,3
https://openalex.org/W2035273791,1988,article,NA,0
https://openalex.org/W1964571129,2009,article,NA,0
https://openalex.org/W2034414916,2012,article,US,1
https://openalex.org/W2027106836,2008,article,NA,0
https://openalex.org/W2108715955,2007,article,US,1
https://openalex.org/W2343356603,2016,preprint,BD;GB,2
https://openalex.org/W2149668773,2003,article,US,1
https://openalex.org/W1968525370,2010,article,US,1
https://openalex.org/W1970331909,2006,article,NA,0
https://openalex.org/W2143530585,2003,article,US,1
https://openalex.org/W4233933415,2004,article,US,1
https://openalex.org/W2008433969,2007,article,GB;US,2
https://openalex.org/W69231166,2014,article,US,1
https://openalex.org/W1523445190,2015,article,NA,0
https://openalex.org/W2170121306,2010,article,CH;GB;IN;US;ZA,5
https://openalex.org/W1605255363,2004,article,NA,0
https://openalex.org/W2085154695,2009,article,US,1
https://openalex.org/W2046245344,2006,article,GB,1
https://openalex.org/W956237728,2015,book,NA,0
https://openalex.org/W2006627953,1994,article,US,1
https://openalex.org/W2134045777,2005,article,PT,1
https://openalex.org/W2111946420,2011,review,US,1
https://openalex.org/W2050691432,2007,article,FR,1
https://openalex.org/W2012327117,2010,article,US,1
https://openalex.org/W2121890978,2009,review,US,1
https://openalex.org/W2597005596,2017,article,US,1
https://openalex.org/W2104926950,2012,article,US,1
https://openalex.org/W2411975866,2003,article,NA,0
https://openalex.org/W2654949284,2017,article,DE;NL,2
https://openalex.org/W2738891290,2018,article,US,1
https://openalex.org/W2892334139,2014,article,NA,0
https://openalex.org/W2584924736,2017,book-chapter,US,1
https://openalex.org/W1664682169,2005,article,NA,0
https://openalex.org/W11001331,2013,article,US,1
https://openalex.org/W2051044597,2009,article,US,1
https://openalex.org/W2151877045,2010,article,US,1
https://openalex.org/W213371629,2011,book,NA,0
https://openalex.org/W2597065118,2017,article,NA,0
https://openalex.org/W1974322093,2010,article,GB,1
https://openalex.org/W2591965433,2017,article,US,1
https://openalex.org/W2087115600,2010,article,GB,1
https://openalex.org/W575324862,2010,article,NA,0
https://openalex.org/W1993170138,2011,article,US,1
https://openalex.org/W2109584003,2009,article,GB,1
https://openalex.org/W2083172905,2012,article,CA,1
https://openalex.org/W1534436305,2014,article,NA,0
https://openalex.org/W2963174732,2012,article,DE,1
https://openalex.org/W2174181829,2011,article,NA,0
https://openalex.org/W2767286669,2010,article,NA,0
https://openalex.org/W4302316921,2017,article,NL,1
https://openalex.org/W2612621043,2017,article,US,1
https://openalex.org/W2737770261,2017,article,NA,0
https://openalex.org/W2809345396,2017,article,NA,0
https://openalex.org/W177780559,2010,book-chapter,NA,0
https://openalex.org/W2131675997,2012,preprint,NA,0
https://openalex.org/W1492266970,2012,preprint,NA,0
https://openalex.org/W2044509498,1999,article,NA,0
https://openalex.org/W2085131227,1990,article,US,1
https://openalex.org/W2086245635,1998,article,NA,0
https://openalex.org/W1558240935,1999,article,GB,1
https://openalex.org/W2005517790,1991,article,NA,0
https://openalex.org/W2035081121,2008,review,US,1
https://openalex.org/W2138260574,2009,article,US,1
https://openalex.org/W2010055302,2009,article,FI;US,2
https://openalex.org/W4300748073,2000,article,NA,0
https://openalex.org/W2049285399,2008,article,RU,1
https://openalex.org/W1734615303,2012,article,US,1
https://openalex.org/W2013606147,1981,article,GB,1
https://openalex.org/W1978908316,2013,article,GB,1
https://openalex.org/W1984343572,2006,article,NA,0
https://openalex.org/W1589389886,2014,article,CA;IE,2
https://openalex.org/W2175311286,2015,article,US,1
https://openalex.org/W2160600170,1992,article,DE,1
https://openalex.org/W3033978236,2020,article,AU;CN;US,3
https://openalex.org/W2147717883,2011,article,CA;NL;NO;US,4
https://openalex.org/W3113126806,2020,article,CA;FR;US,3
https://openalex.org/W3127783647,2021,article,NA,0
https://openalex.org/W1562804877,2001,book,NA,0
https://openalex.org/W2623389180,2017,article,AU;US,2
https://openalex.org/W2891515454,2018,article,US,1
https://openalex.org/W1494080438,2015,article,US,1
https://openalex.org/W2548190594,2013,article,NA,0
https://openalex.org/W2065340712,2014,article,NA,0
https://openalex.org/W3081785712,2020,article,IE;TW;US,3
https://openalex.org/W1493461838,1996,article,NA,0
https://openalex.org/W2892066943,2018,article,US,1
https://openalex.org/W2977671900,2019,article,US,1
https://openalex.org/W1522589522,2009,book,NA,0
https://openalex.org/W3024414763,2018,article,NA,0
https://openalex.org/W3046496837,2020,article,US,1
https://openalex.org/W1980750590,2014,article,US,1
https://openalex.org/W2058891744,1985,article,US,1
https://openalex.org/W1984363735,2013,article,ZA,1
https://openalex.org/W2153835801,2014,article,US,1
https://openalex.org/W2334685735,2010,article,US,1
https://openalex.org/W2998056648,2019,article,US,1
https://openalex.org/W4243766660,2006,review,NA,0
https://openalex.org/W4245935687,2021,article,NA,0
https://openalex.org/W1548849615,2012,book-chapter,GB,1
https://openalex.org/W2093122875,1988,article,NA,0
https://openalex.org/W2148030806,2001,article,NA,0
https://openalex.org/W1519946736,2002,article,NA,0
https://openalex.org/W2169214811,2012,article,US,1
https://openalex.org/W1504287823,2008,article,NA,0
https://openalex.org/W1970019308,2010,article,US,1
https://openalex.org/W4250073672,1952,article,NA,0
https://openalex.org/W1528256875,2008,book,NA,0
https://openalex.org/W4389609835,2023,article,NA,0
https://openalex.org/W1970533326,1999,article,NL,1
https://openalex.org/W2164158888,2008,article,US,1
https://openalex.org/W2014527937,2003,article,US,1
https://openalex.org/W2007379715,2010,article,US,1
https://openalex.org/W2093233459,2007,article,US,1
https://openalex.org/W1968832436,2007,article,US,1
https://openalex.org/W1589589954,1996,article,NA,0
https://openalex.org/W4399757216,2024,article,GB,1
https://openalex.org/W3161748415,2021,article,AU,1
https://openalex.org/W4396601360,2024,article,SG;US,2
https://openalex.org/W4296369701,2022,article,CA;US,2
https://openalex.org/W4403096437,2024,article,CN,1
https://openalex.org/W2123476269,2005,article,GB,1
https://openalex.org/W1987766450,1993,article,NA,0
https://openalex.org/W3146774911,2003,book,NA,0
https://openalex.org/W1985561717,2007,article,GB;US,2
https://openalex.org/W2105655950,1998,article,US,1
https://openalex.org/W2142549205,2008,article,GB,1
https://openalex.org/W1501926053,1996,article,NA,0
https://openalex.org/W1999142987,1999,article,US,1
https://openalex.org/W1906007258,1997,article,NA,0
https://openalex.org/W2072022739,2011,article,ES;IT;US,3
https://openalex.org/W2073743938,2009,article,US,1
https://openalex.org/W1975310639,2006,article,US,1
https://openalex.org/W1681268104,2008,book-chapter,NA,0
https://openalex.org/W2098701071,2006,article,US,1
https://openalex.org/W3187508921,2021,preprint,NA,0
https://openalex.org/W4365999247,2023,article,US,1
https://openalex.org/W2549007805,2003,book-chapter,NA,0
https://openalex.org/W2110326982,2007,article,US,1
https://openalex.org/W2142143789,2005,article,US,1
https://openalex.org/W2032543492,2001,article,NA,0
https://openalex.org/W1982242648,2008,article,NA,0
https://openalex.org/W3208525235,2021,article,NA,0
https://openalex.org/W4220772507,2022,article,US,1
https://openalex.org/W4400526175,2024,article,CN,1
https://openalex.org/W4226088840,2022,report,NA,0
https://openalex.org/W2207586485,2006,article,NA,0
https://openalex.org/W1492856410,1981,book,NA,0
https://openalex.org/W2333993525,1993,book,NA,0
https://openalex.org/W1491504725,2017,book,NA,0
https://openalex.org/W1496167765,2020,book,NA,0
https://openalex.org/W2154876275,1998,article,DK;US,2
https://openalex.org/W77672729,2007,book,NA,0
https://openalex.org/W1500025880,1982,book-chapter,US,1
https://openalex.org/W2096964374,2007,article,CA,1
https://openalex.org/W1536857969,2007,article,NA,0
https://openalex.org/W2048991227,2011,article,GB,1
https://openalex.org/W1615034563,2008,article,NA,0
https://openalex.org/W2010631179,2012,article,NA,0
https://openalex.org/W2031201375,2007,article,US,1
https://openalex.org/W1988269381,1991,article,GB,1
https://openalex.org/W1577759297,2008,article,NA,0
https://openalex.org/W2163715482,2008,article,NA,0
https://openalex.org/W1528045165,2005,article,US,1
https://openalex.org/W2023691785,2009,article,NA,0
https://openalex.org/W1974835557,2010,article,NA,0
https://openalex.org/W1805218364,2008,article,NA,0
https://openalex.org/W1541634157,2011,book,NA,0
https://openalex.org/W2009262492,2010,article,US,1
https://openalex.org/W1197973907,2011,article,NA,0
https://openalex.org/W2123013727,2008,book-chapter,DK,1
https://openalex.org/W246714797,2011,article,US,1
https://openalex.org/W567020939,2007,article,NA,0
https://openalex.org/W2130703170,2007,article,AT,1
https://openalex.org/W2101541586,2007,article,AU,1
https://openalex.org/W2027980808,2008,article,NA,0
https://openalex.org/W323147185,2006,article,NA,0
https://openalex.org/W2084754237,2008,article,US,1
https://openalex.org/W1994319643,2008,article,US,1
https://openalex.org/W2566592986,2007,article,NA,0
