citing_country,n_citations,n_citing_works,endogenous_any_n,endogenous_maj_n,scr_any,scr_majority,n_countries_cited,shannon_entropy,hhi,expected_scr,excess_endogeneity_any,excess_endogeneity_maj,endogeneity_ratio_any,endogeneity_ratio_maj,meets_threshold,z_score_any,p_value_any
US,6573,531,3808,2242,0.5793397231096912,0.34109234748212386,103,2.686223254062578,0.1711556580582396,0.2902473572546376,0.2890923658550536,0.050844990227486286,1.9960206652335832,1.1751781332598985,TRUE,41.51793564378562,0
GB,6427,435,2424,1154,0.3771588610549245,0.17955500233390384,102,2.866628824714634,0.12596244092681147,0.11530349046508608,0.26185537058983843,0.064251511868817765,3.271009919418947,1.5572382207134756,TRUE,46.003771350074366,0
CN,5537,265,1733,988,0.3129853711396063,0.17843597616037565,105,3.0717672929237723,0.09813858974768992,0.04003859738106873,0.27294677375853754,0.1383973787793069,7.817091297198981,4.45659907768759,TRUE,75.1591465004653,0
IT,5055,217,1550,809,0.3066271018793274,0.16003956478733927,100,3.003825979674031,0.09464996237777543,0.040935491652697796,0.2656916102266296,0.11910407313464147,7.490495154688574,3.9095552129955204,TRUE,64.13464144384669,0
DE,4125,276,1338,537,0.32436363636363635,0.13018181818181818,88,2.9049649030362965,0.11011133327703068,0.060098101676883016,0.26426553468675335,0.07008371650493517,5.397235974400239,2.1661552453310375,TRUE,57.16901005716081,0
FR,2768,216,988,473,0.3569364161849711,0.1708815028901734,95,3.0437831191358935,0.0925895454934932,0.03328405569404153,0.32365236049092955,0.13759744719613187,10.72394600784391,5.134034880273451,TRUE,69.17802217691947,0
ES,2628,175,763,354,0.2903348554033486,0.13470319634703196,90,3.0489535832880783,0.0904287221480389,0.028855253635514538,0.261479601767834,0.10584794271151741,10.061767575177699,4.668238167251514,TRUE,64.74286176245866,0
NL,2361,148,621,205,0.2630241423125794,0.08682761541719611,85,2.9328410273779135,0.10463924848915133,0.03509640067050579,0.22792774164207363,0.05173121474669032,7.494333814510469,2.4739749307160164,TRUE,49.68379357201019,0
CH,2062,115,478,186,0.2318137730358875,0.09020368574199807,78,2.954279578401396,0.10267300240722345,0.016038943767821907,0.21577482926806557,0.07416474197417616,14.45318197953679,5.624041523418082,TRUE,56.337978419085765,0
CA,1993,188,545,238,0.27345709984947314,0.11941796287004516,77,2.6585868980374716,0.15172926902484715,0.03827573622648745,0.2351813636229857,0.08114222664355772,7.144398169936082,3.1199390173298855,TRUE,46.121534079442405,0
