author_id,n_citations_total,n_works,n_countries_cited,shannon_entropy,hhi,top_country,top_country_share,self_cite_rate,author_name,author_countries
https://openalex.org/A5054595225,193,3,47,3.3164953310523724,0.053451099358372035,US,0.12435233160621761,0.11724137931034483,Mohd Kamal Othman,MY
https://openalex.org/A5068973323,193,3,47,3.3164953310523724,0.053451099358372035,US,0.12435233160621761,0.11724137931034483,Nurfarahani Norman Anuar,MY
https://openalex.org/A5021496270,233,3,46,3.1529353600653027,0.06286724750870343,GR,0.11587982832618025,0.3401360544217687,Alessandro Adamou,IT
https://openalex.org/A5065358832,206,7,45,3.1337477872232,0.06932792911678763,US,0.1407766990291262,0.15492957746478872,Emad Mohamed,BD;GB
https://openalex.org/A5058352961,391,5,53,3.1314697691150615,0.0773869872646045,IT,0.1815856777493606,0.26181818181818184,Roberto Pierdicca,IT
https://openalex.org/A5023823294,217,3,41,3.0792771968545902,0.06674594916010108,GR,0.12442396313364056,0.27586206896551724,Yumeng Hou,CH
https://openalex.org/A5025020025,198,3,40,3.062821390288495,0.06667686970717274,GR,0.13131313131313133,0.26119402985074625,Davide Picca,CH
https://openalex.org/A5047835586,152,3,42,3.024741315690278,0.08067867036011081,IT,0.16447368421052633,0.32,Laura Corchia,IT
https://openalex.org/A5055882886,152,3,42,3.024741315690278,0.08067867036011081,IT,0.16447368421052633,0.32,Lucio Tommaso De Paolis,IT
https://openalex.org/A5015201403,62,3,27,3.009959438897937,0.06711758584807492,US,0.1774193548387097,0.0975609756097561,Saeedeh Momtazi,IR
https://openalex.org/A5028298939,267,6,40,3.009315850985772,0.07455568180224158,US,0.17228464419475656,0.19072164948453607,Sarah Kenderdine,CH
https://openalex.org/A5072253563,93,4,29,3.0060873688817042,0.06463174933518326,IT,0.13978494623655913,0.1323529411764706,Imanol Muñoz-Pandiella,ES
https://openalex.org/A5005993906,190,7,38,2.994148699161092,0.07722991689750693,US,0.1736842105263158,0.5980392156862745,David Joseph Wrisley,AE
https://openalex.org/A5108768608,170,5,35,2.9503886444733043,0.07515570934256055,US,0.13529411764705881,0.2018348623853211,Raheem Sarwar,GB
https://openalex.org/A5063609310,130,3,30,2.9397916648633093,0.07562130177514793,GB,0.15384615384615385,0.660377358490566,Joseph Nockels,GB
https://openalex.org/A5018711853,129,3,28,2.938101529274742,0.07120966288083648,GB,0.15503875968992248,0.7872340425531915,Achim Rabus,DE
https://openalex.org/A5100413180,424,13,54,2.936904651577573,0.10174884300462798,US,0.21462264150943397,0.2276923076923077,Haitao Liu,CN
https://openalex.org/A5091524866,241,5,40,2.9273675258109595,0.09178560975189821,IT,0.2157676348547718,0.1945945945945946,George Caridakis,GR
https://openalex.org/A5065291002,140,4,28,2.9257710424836954,0.07142857142857142,GB,0.15,0.7843137254901961,Christel Annemieke Romein,AT;CH;NL
https://openalex.org/A5011458000,136,4,30,2.8982670100226815,0.07980103806228374,GB,0.16176470588235295,0.43037974683544306,Moshe Lavee,IL
https://openalex.org/A5023816166,125,4,31,2.8773917740590234,0.08224000000000001,US,0.168,0.2054794520547945,Andrea Bellandi,IT
https://openalex.org/A5076394591,120,3,30,2.877374172841691,0.08652777777777777,CN,0.175,0.26881720430107525,Kanglong Liu,HK
https://openalex.org/A5025494105,94,3,27,2.8464835737050165,0.0819375282933454,FR,0.19148936170212766,0.33962264150943394,Marie Puren,FR
https://openalex.org/A5029360913,170,3,36,2.8276886826700185,0.09778546712802769,GB,0.21764705882352942,0.29838709677419356,Charlie Hargood,GB
https://openalex.org/A5015850691,116,3,32,2.8271200140190427,0.09453032104637336,IT,0.20689655172413793,0.3333333333333333,Ramona Quattrini,IT
https://openalex.org/A5011248342,162,3,32,2.826235821009283,0.08847736625514403,US,0.16666666666666666,0.3211009174311927,Nikolaos Partarakis,FR
https://openalex.org/A5014712120,162,3,32,2.826235821009283,0.08847736625514403,US,0.16666666666666666,0.3211009174311927,Ilia Adami,FR
https://openalex.org/A5089987396,162,3,32,2.826235821009283,0.08847736625514403,US,0.16666666666666666,0.3211009174311927,Xenophon Zabulis,GR
https://openalex.org/A5005815493,162,3,28,2.8237511193884663,0.08588629782045419,ES,0.16049382716049382,0.45652173913043476,Gustavo Candela,ES
https://openalex.org/A5076012918,78,5,26,2.8197974449712007,0.0811965811965812,FR,0.15384615384615385,0.2692307692307692,Thibault Clérice,FR
https://openalex.org/A5064638062,214,5,36,2.8130956376393947,0.11284828369289893,US,0.2850467289719626,0.4166666666666667,Holly Rushmeier,US
https://openalex.org/A5051059391,95,3,27,2.808811126080251,0.09961218836565097,DE,0.25263157894736843,0.6944444444444444,Nanette Rißler-Pipka,DE
https://openalex.org/A5006766510,287,9,38,2.807241406890043,0.10517306268134856,US,0.24390243902439024,0.18009478672985782,Maayan Zhitomirsky‐Geffet,IL
https://openalex.org/A5068789709,228,9,32,2.804592450751491,0.09225915666358879,US,0.21052631578947367,0.27450980392156865,Mike Kestemont,BE
https://openalex.org/A5065862748,79,4,24,2.802747900279354,0.07835282807242429,CN,0.1518987341772152,0.20634920634920634,Tong Wei,CN
https://openalex.org/A5100611610,80,3,29,2.7854888817899104,0.0984375,CN,0.1875,0.12857142857142856,Wanwan Zheng,JP
https://openalex.org/A5033582512,603,24,51,2.7839890778262952,0.12555519802865167,US,0.24378109452736318,0.44522144522144524,Melissa Terras,GB
https://openalex.org/A5026268052,77,4,27,2.7826653325521087,0.09360769101028842,IT,0.2077922077922078,0.38095238095238093,Angelo Mario Del Grosso,IT
https://openalex.org/A5049722294,147,3,29,2.7676789175485683,0.09620991253644316,US,0.2108843537414966,0.17142857142857143,George Papagiannakis,GR
https://openalex.org/A5037026769,264,3,37,2.7651022244638925,0.11085284664830121,US,0.23863636363636365,0.30726256983240224,Xia Zheng,CN
https://openalex.org/A5052506636,190,7,29,2.757010231749973,0.09235457063711912,US,0.1736842105263158,0.4260869565217391,Daniele Metilli,IT
https://openalex.org/A5034136057,140,6,32,2.7528828138840913,0.1113265306122449,US,0.2642857142857143,0.18095238095238095,Seyed Mostafa Fakhrahmad,IR
https://openalex.org/A5051192482,174,5,33,2.7488210833030107,0.11362135024441802,US,0.27586206896551724,0.08088235294117647,Steven Verstockt,BE
https://openalex.org/A5083411784,169,6,27,2.744341700132739,0.0928889044501243,US,0.20710059171597633,0.125,Walter Daelemans,BE
https://openalex.org/A5039604862,82,3,24,2.743470274585325,0.09577632361689471,GB,0.2073170731707317,0.38181818181818183,Daniil Skorinkin,RU
https://openalex.org/A5008213712,153,3,31,2.7373277815179198,0.1102567388611218,US,0.24836601307189543,0.13559322033898305,Katerina El Raheb,GR
https://openalex.org/A5084844685,153,3,31,2.7373277815179198,0.1102567388611218,US,0.24836601307189543,0.13559322033898305,Marina Stergiou,GR
https://openalex.org/A5079118565,127,7,28,2.730324067558988,0.09219418438836877,US,0.1889763779527559,0.4155844155844156,Joris van Zundert,NL
https://openalex.org/A5042333468,85,3,24,2.7283825419659538,0.09204152249134949,US,0.17647058823529413,0.09230769230769231,Ioanna Lykourentzou,NL
https://openalex.org/A5029182918,68,3,20,2.726575867295731,0.078719723183391,GB,0.1323529411764706,0.24444444444444444,Amelie Dorn,AT
https://openalex.org/A5064778594,180,3,26,2.7262041956323864,0.09450617283950617,US,0.2222222222222222,0.171875,Yiorgos Chrysanthou,CY
https://openalex.org/A5037571749,160,5,31,2.723652674405641,0.109140625,US,0.2375,0.336283185840708,Stefan Jänicke,DE
https://openalex.org/A5029199212,121,6,29,2.7184904702885295,0.1139949457004303,DE,0.256198347107438,0.5689655172413793,José Calvo Tello,DE
https://openalex.org/A5046812287,58,3,24,2.718455349045408,0.09750297265160524,CN,0.1896551724137931,0.1346153846153846,Mingzhe Jin,JP
https://openalex.org/A5046117814,85,3,27,2.715717880121745,0.10948096885813151,FR,0.25882352941176473,0.43859649122807015,Carmen Brando,FR
https://openalex.org/A5069545386,160,7,28,2.7120991808706987,0.09609375,GB,0.15625,0.44554455445544555,Carlo Meghini,IT
https://openalex.org/A5004559117,232,8,29,2.71139897238423,0.0978745541022592,US,0.17672413793103448,0.36879432624113473,Valentina Bartalesi,IT
https://openalex.org/A5021351968,157,6,33,2.707944221341213,0.11590733904012333,GB,0.2611464968152866,0.2523364485981308,Tobias Blanke,GB
https://openalex.org/A5025599310,121,4,26,2.7054483360366017,0.09432415818591626,US,0.19008264462809918,0.3448275862068966,Simone Rebora,IT
https://openalex.org/A5021451115,44,3,20,2.701070169785515,0.09194214876033058,GB,0.18181818181818182,0.1111111111111111,Erik Champion,AU
https://openalex.org/A5083923050,117,4,24,2.6996679596742545,0.09445540214770984,IT,0.17094017094017094,0.31746031746031744,Nicolò Pratelli,IT
https://openalex.org/A5066740670,443,8,37,2.693028125413461,0.12538662617389132,US,0.30248306997742663,0.3343465045592705,Ruggero Pintus,US
https://openalex.org/A5000158514,94,9,24,2.69086905963294,0.10638297872340424,RS,0.2553191489361702,0.5740740740740741,Ranka Stanković,IT;RS
https://openalex.org/A5074951699,90,4,23,2.689534919243908,0.09358024691358025,IT,0.18888888888888888,0.12345679012345678,George Lepouras,GR
https://openalex.org/A5081287697,314,6,35,2.686270694891789,0.10481155422126658,US,0.17834394904458598,0.4639175257731959,Marilena Daquino,IT
https://openalex.org/A5033602352,214,3,31,2.6846894749406323,0.10533671062974931,US,0.19626168224299065,0.4189189189189189,Antonio Lieto,IT
https://openalex.org/A5007084743,176,3,30,2.6819732761802446,0.11079545454545456,IT,0.23863636363636365,0.3418803418803419,Bruno Sartini,IT
https://openalex.org/A5086267657,94,3,23,2.6819544692150457,0.09687641466727026,GB,0.18085106382978725,0.058823529411764705,Tuomo Hiippala,FI
https://openalex.org/A5110283930,76,3,26,2.674554471839036,0.11945983379501385,US,0.2894736842105263,0.1111111111111111,Mohammad Hadi Sadreddini,IR
https://openalex.org/A5004193068,294,6,36,2.6727215909026043,0.1183534638345134,US,0.21768707482993196,0.24890829694323144,Akrivi Katifori,GR
https://openalex.org/A5084870386,294,6,36,2.6727215909026043,0.1183534638345134,US,0.21768707482993196,0.24890829694323144,Yannis Ioannidis,GR
https://openalex.org/A5055598777,265,7,37,2.671260688819292,0.12532573869704522,US,0.27547169811320754,0.19387755102040816,Heshaam Faili,IR
https://openalex.org/A5059869608,48,3,20,2.6706783554849793,0.09461805555555557,US,0.20833333333333334,0.18421052631578946,Mats Dahllöf,SE
https://openalex.org/A5079764764,90,3,23,2.670046822686444,0.10148148148148149,US,0.2,0.3090909090909091,Myrsini Samaroudi,GB
https://openalex.org/A5022034150,163,3,30,2.6692062786877324,0.10911212315104069,US,0.22085889570552147,0.22764227642276422,Eugene Ch’ng,CN
https://openalex.org/A5016085121,44,4,20,2.6687167720440597,0.1012396694214876,US,0.25,0.3939393939393939,Alíz Horváth,AT
https://openalex.org/A5031461768,171,4,31,2.6685353733183352,0.11090591977018568,US,0.22807017543859648,0.3103448275862069,Silvio Peroni,IT
https://openalex.org/A5054033830,152,7,31,2.6665547282365707,0.12534626038781163,US,0.24342105263157895,0.21621621621621623,Julianne Nyhan,GB
https://openalex.org/A5030902070,144,3,29,2.665057212094436,0.11930941358024692,GB,0.2361111111111111,0.3786407766990291,Inna Kizhner,RU
https://openalex.org/A5009229122,520,10,38,2.6645810499694043,0.12499999999999999,US,0.2865384615384615,0.34908136482939633,Enrico Gobbetti,IT
https://openalex.org/A5054581185,257,4,33,2.663211856192719,0.10972157034928613,US,0.2140077821011673,0.3791208791208791,Rossana Damiano,IT
https://openalex.org/A5030028705,88,3,22,2.6629855544765606,0.09814049586776859,US,0.22727272727272727,0.26785714285714285,Laura Hernández‐Lorenzo,ES
https://openalex.org/A5021571150,146,3,27,2.6603701145442695,0.11568774629386376,US,0.2602739726027397,0.12121212121212122,Lars Wieneke,LU
https://openalex.org/A5005227218,166,4,31,2.6587967260769245,0.11329655973290753,US,0.22289156626506024,0.1557377049180328,Giovanni Colavizza,CH;GB;NL
https://openalex.org/A5030130884,123,3,24,2.6581121105819245,0.10331152092008725,DE,0.22764227642276422,0.4647887323943662,Matteo Valleriani,DE
https://openalex.org/A5014143084,182,3,26,2.6523298618116535,0.10113512860765608,GB,0.19230769230769232,0.48672566371681414,Enrico Daga,GB
https://openalex.org/A5071623753,167,5,29,2.6504773405752315,0.1091828319409086,US,0.2215568862275449,0.2857142857142857,J. Berenike Herrmann,CH
https://openalex.org/A5019559449,221,8,29,2.645880935523524,0.10067361438135992,IT,0.19004524886877827,0.4,Francesca Tomasi,IT
https://openalex.org/A5045392938,130,11,26,2.6434964932233758,0.10508875739644973,FR,0.2,0.4246575342465753,Laurent Romary,FR
https://openalex.org/A5018399500,56,3,21,2.6424887248667464,0.10905612244897958,US,0.26785714285714285,0.08888888888888889,Rachid Benslimane,MA
https://openalex.org/A5012871437,76,3,23,2.640818572067688,0.1038781163434903,ES,0.19736842105263158,0.38,Salvador Ros,ES
https://openalex.org/A5034071724,39,3,17,2.634217698056855,0.0861275476660092,US,0.1794871794871795,0.2,Ben Nagy,AU
https://openalex.org/A5073776277,139,4,25,2.6310296542381364,0.10677501164535998,US,0.2158273381294964,0.26666666666666666,Karina Rodríguez Echavarria,GB
https://openalex.org/A5101696469,88,3,23,2.6258421411233344,0.10666322314049587,GB,0.22727272727272727,0.01282051282051282,Changsoo Lee,KR
https://openalex.org/A5083489156,68,6,20,2.621779760364247,0.09342560553633218,ES,0.14705882352941177,0.3191489361702128,Helena Bermúdez Sabel,CH
https://openalex.org/A5055956397,67,3,24,2.6194300048477754,0.1298730229449766,DE,0.31343283582089554,0.6774193548387096,Stefan E. Funk,DK
https://openalex.org/A5035039786,39,3,19,2.616840924282466,0.10190664036817883,US,0.23076923076923078,0,Georg Vogeler,DE
