citing_country,n_citations,n_citing_works,endogenous_any_n,endogenous_maj_n,scr_any,scr_majority,n_countries_cited,shannon_entropy,hhi,expected_scr,excess_endogeneity_any,excess_endogeneity_maj,endogeneity_ratio_any,endogeneity_ratio_maj,meets_threshold,z_score_any,p_value_any
US,43624,2982,28136,17417,0.6449660737208875,0.39925270493306436,150,2.5107143101258576,0.22237188338912395,0.2902473572546376,0.35471871646625,0.10900534767842679,2.2221255684166348,1.3755601729141502,TRUE,94.35055693029028,0
GB,29214,1638,11248,4970,0.3850208803998083,0.17012391319230505,142,2.7423757063208725,0.1491475944830485,0.11530349046508608,0.2697173899347222,0.05482042272721897,3.3391953604075213,1.4754446071501939,TRUE,100.33043909838575,0
DE,21591,1379,6348,2875,0.2940113936362373,0.13315733407438285,123,2.780981714541051,0.13547131417700903,0.060098101676883016,0.23391329195935429,0.07305923239749984,4.892191024884402,2.2156662250382255,TRUE,107.80997790128049,0
IT,18709,1218,5485,2704,0.29317440803891176,0.14452937089101503,136,2.948455681567504,0.1082554251157739,0.040935491652697796,0.252238916386214,0.10359387923831723,7.1618636103419195,3.530661659501286,TRUE,147.2941903937917,0
CN,12765,715,3667,1908,0.2872698785742264,0.14947121034077557,123,3.005892899712753,0.11008228576385863,0.04003859738106873,0.24723128119315768,0.10943261295970684,7.174823729216223,3.733177986186134,TRUE,132.59294099008508,0
ES,11724,851,3287,1682,0.2803650631183896,0.1434663937222791,122,2.941321424719887,0.1098050344045029,0.028855253635514538,0.25150980948287505,0.11461114008676455,9.716257103812847,4.971933206149441,TRUE,139.74992560864035,0
NL,10936,570,3259,1130,0.2980065837600585,0.10332845647403073,116,2.797363338664743,0.13054364520795553,0.03509640067050579,0.2629101830895527,0.06823205580352494,8.491086780032587,2.9441325748502067,TRUE,117.82256870125507,0
CA,8905,586,2459,846,0.27613700168444694,0.09500280741156654,117,2.6991379411917147,0.16017365011508122,0.03827573622648745,0.2378612654579595,0.05672707118507909,7.21441385347816,2.4820634892405544,TRUE,95.04667122060887,0
FR,8666,585,2932,1086,0.338333717978306,0.12531733210246943,116,2.8672331203755816,0.12347647232690587,0.03328405569404153,0.3050496622842645,0.0920332764084279,10.165038812829353,3.765085999567762,TRUE,141.1536542199203,0
AU,6273,335,1477,593,0.2354535310058983,0.09453212179180616,109,2.9048958854228695,0.12566291002770028,0.031477896195312646,0.20397563481058567,0.06305422559649351,7.479964021260085,3.00312705796021,TRUE,82.1959686694902,0
JP,6022,471,1496,701,0.24842245101295252,0.11640650946529392,102,2.7699625504586196,0.14401745900139473,0.017535829379782146,0.23088662163317036,0.09887068008551178,14.166564103285017,6.638209516312029,TRUE,122.30234158709628,0
IN,5899,405,1152,598,0.19528733683675198,0.10137311408713341,117,3.108713034589194,0.10703042578625889,0.014276082613240634,0.18101125422351133,0.08709703147389278,13.679336420736938,7.1009055378478205,TRUE,115.34473836203877,0
CH,5461,280,1497,373,0.2741256180186779,0.06830250869804065,92,2.8786543433323746,0.11854771269027357,0.016038943767821907,0.258086674250856,0.05226356493021875,17.091251268593,4.258541565253966,TRUE,123.02783841915061,0
SE,4704,292,1165,338,0.24766156462585034,0.07185374149659864,90,2.8544075932321644,0.12376486305380799,0.014362679301535853,0.2332988853243145,0.05749106219506278,17.243409772393022,5.002809015509736,TRUE,110.35354316603511,0
BE,4122,255,938,271,0.22755943716642407,0.06574478408539544,92,2.9059351326916913,0.12090442748760209,0.01138127903308612,0.21617815813333796,0.05436350505230932,19.994188395249246,5.776572553424889,TRUE,113.13935300131615,0
GR,4011,212,962,479,0.23984043879331837,0.1194215906257791,91,2.977731142158818,0.10063048559192321,0.009488522846062015,0.23035191594725635,0.10993306777971709,25.27689954320534,12.58589904490162,TRUE,126.05310392438531,0
FI,3954,240,927,369,0.23444613050075871,0.09332321699544764,86,2.8891256800317846,0.11559787379972566,0.009872022465655135,0.22457410803510358,0.08345119452979251,23.74854102251075,9.45330273711593,TRUE,119.78486809947908,0
