citing_country,citing_year,n_citations,scr_any,scr_majority,expected_scr,excess_scr_any
AT,2007,6,0.3333333333333333,0,0.010026659409039457,0.32330667392429385
AT,2008,52,0.28846153846153844,0.038461538461538464,0.010026659409039457,0.278434879052499
AT,2009,60,0.6666666666666666,0.1,0.010026659409039457,0.6566400072576272
AT,2011,34,0.058823529411764705,0.058823529411764705,0.010026659409039457,0.04879687000272525
AT,2012,1,0,0,0.010026659409039457,-0.010026659409039457
AT,2013,24,0.16666666666666666,0.16666666666666666,0.010026659409039457,0.1566400072576272
AT,2014,47,0.10638297872340426,0.0851063829787234,0.010026659409039457,0.0963563193143648
AT,2016,68,0.17647058823529413,0.11764705882352941,0.010026659409039457,0.16644392882625467
AT,2017,110,0.2909090909090909,0.02727272727272727,0.010026659409039457,0.28088243150005143
AT,2018,111,0.23423423423423423,0.23423423423423423,0.010026659409039457,0.22420757482519477
AT,2019,56,0.30357142857142855,0.017857142857142856,0.010026659409039457,0.2935447691623891
AT,2020,31,0.0967741935483871,0.0967741935483871,0.010026659409039457,0.08674753413934763
AT,2021,105,0.19047619047619047,0.0380952380952381,0.010026659409039457,0.180449531067151
AT,2022,57,0.21052631578947367,0.14035087719298245,0.010026659409039457,0.2004996563804342
AT,2023,40,0.3,0.1,0.010026659409039457,0.2899733405909605
AT,2024,89,0.23595505617977527,0.056179775280898875,0.010026659409039457,0.2259283967707358
AT,2025,170,0.31176470588235294,0.041176470588235294,0.010026659409039457,0.3017380464733135
AU,2007,8,0,0,0.031477896195312646,-0.031477896195312646
AU,2009,54,0.5925925925925926,0,0.031477896195312646,0.56111469639728
AU,2010,11,0.18181818181818182,0.18181818181818182,0.031477896195312646,0.15034028562286916
AU,2011,39,0.15384615384615385,0.15384615384615385,0.031477896195312646,0.12236825765084121
AU,2012,32,0.78125,0.09375,0.031477896195312646,0.7497721038046874
AU,2013,55,0.16363636363636364,0.16363636363636364,0.031477896195312646,0.13215846744105098
AU,2014,59,0.23728813559322035,0.1694915254237288,0.031477896195312646,0.2058102393979077
AU,2015,5,0,0,0.031477896195312646,-0.031477896195312646
AU,2016,58,0.5689655172413793,0.13793103448275862,0.031477896195312646,0.5374876210460667
AU,2017,77,0.14285714285714285,0.025974025974025976,0.031477896195312646,0.1113792466618302
AU,2018,172,0.2558139534883721,0.011627906976744186,0.031477896195312646,0.22433605729305944
AU,2019,59,0.15254237288135594,0.13559322033898305,0.031477896195312646,0.1210644766860433
AU,2020,91,0.42857142857142855,0.03296703296703297,0.031477896195312646,0.3970935323761159
AU,2021,107,0.6448598130841121,0.18691588785046728,0.031477896195312646,0.6133819168887995
AU,2022,140,0.12857142857142856,0.09285714285714286,0.031477896195312646,0.09709353237611591
AU,2023,150,0.19333333333333333,0.08666666666666667,0.031477896195312646,0.1618554371380207
AU,2024,64,0.484375,0.234375,0.031477896195312646,0.45289710380468734
AU,2025,155,0.2,0.06451612903225806,0.031477896195312646,0.16852210380468735
BE,2008,14,0.21428571428571427,0.21428571428571427,0.01138127903308612,0.20290443525262816
BE,2010,47,0.10638297872340426,0.10638297872340426,0.01138127903308612,0.09500169969031813
BE,2011,18,0.7777777777777778,0.2777777777777778,0.01138127903308612,0.7663964987446916
BE,2012,3,0,0,0.01138127903308612,-0.01138127903308612
BE,2013,104,0.15384615384615385,0.10576923076923077,0.01138127903308612,0.14246487481306774
BE,2014,40,0.325,0.175,0.01138127903308612,0.3136187209669139
BE,2015,79,0.13924050632911392,0.0759493670886076,0.01138127903308612,0.1278592272960278
BE,2016,52,0.19230769230769232,0.19230769230769232,0.01138127903308612,0.1809264132746062
BE,2017,83,0.10843373493975904,0.10843373493975904,0.01138127903308612,0.09705245590667291
BE,2018,54,0.3148148148148148,0.14814814814814814,0.01138127903308612,0.3034335357817287
BE,2019,69,0.36231884057971014,0.057971014492753624,0.01138127903308612,0.35093756154662403
BE,2020,69,0.2318840579710145,0.028985507246376812,0.01138127903308612,0.22050277893792838
BE,2021,186,0.26344086021505375,0.05913978494623656,0.01138127903308612,0.25205958118196764
BE,2022,38,0.07894736842105263,0.07894736842105263,0.01138127903308612,0.0675660893879665
BE,2023,167,0.18562874251497005,0.04790419161676647,0.01138127903308612,0.17424746348188394
BE,2024,69,0.37681159420289856,0.028985507246376812,0.01138127903308612,0.36543031516981245
BE,2025,81,0.35802469135802467,0.08641975308641975,0.01138127903308612,0.34664341232493856
CA,2007,40,0.225,0.225,0.03827573622648745,0.18672426377351256
CA,2009,43,0.7906976744186046,0.023255813953488372,0.03827573622648745,0.7524219381921171
CA,2010,14,0.14285714285714285,0,0.03827573622648745,0.1045814066306554
CA,2011,67,0.34328358208955223,0.029850746268656716,0.03827573622648745,0.3050078458630648
CA,2012,38,0.15789473684210525,0,0.03827573622648745,0.11961900061561781
CA,2013,24,0.25,0.16666666666666666,0.03827573622648745,0.21172426377351256
CA,2014,12,0.08333333333333333,0.08333333333333333,0.03827573622648745,0.04505759710684588
CA,2015,103,0.24271844660194175,0.1262135922330097,0.03827573622648745,0.2044427103754543
CA,2016,76,0.3684210526315789,0.18421052631578946,0.03827573622648745,0.3301453164050915
CA,2017,111,0.3063063063063063,0.06306306306306306,0.03827573622648745,0.26803057007981884
CA,2018,117,0.27350427350427353,0.10256410256410256,0.03827573622648745,0.2352285372777861
CA,2019,253,0.20948616600790515,0.16205533596837945,0.03827573622648745,0.1712104297814177
CA,2020,137,0.34306569343065696,0.10948905109489052,0.03827573622648745,0.3047899572041695
CA,2021,173,0.4046242774566474,0.19653179190751446,0.03827573622648745,0.36634854123016
CA,2022,136,0.3897058823529412,0.125,0.03827573622648745,0.35143014612645374
CA,2023,237,0.20675105485232068,0.10970464135021098,0.03827573622648745,0.16847531862583323
CA,2024,223,0.20179372197309417,0.07623318385650224,0.03827573622648745,0.16351798574660673
CA,2025,90,0.1111111111111111,0.07777777777777778,0.03827573622648745,0.07283537488462366
CH,2008,7,0.7142857142857143,0,0.016038943767821907,0.6982467705178924
CH,2010,38,0.13157894736842105,0.13157894736842105,0.016038943767821907,0.11554000360059914
CH,2011,3,0.6666666666666666,0.3333333333333333,0.016038943767821907,0.6506277228988447
CH,2013,43,0.11627906976744186,0.06976744186046512,0.016038943767821907,0.10024012599961996
CH,2014,48,0.3333333333333333,0.08333333333333333,0.016038943767821907,0.3172943895655114
CH,2015,93,0.13978494623655913,0.11827956989247312,0.016038943767821907,0.12374600246873722
CH,2016,162,0.2654320987654321,0.10493827160493827,0.016038943767821907,0.2493931549976102
CH,2017,209,0.12440191387559808,0.11483253588516747,0.016038943767821907,0.10836297010777618
CH,2018,143,0.15384615384615385,0.11888111888111888,0.016038943767821907,0.13780721007833194
CH,2019,172,0.20930232558139536,0.06976744186046512,0.016038943767821907,0.19326338181357344
CH,2020,51,0.21568627450980393,0.0784313725490196,0.016038943767821907,0.19964733074198202
CH,2021,168,0.25,0.10714285714285714,0.016038943767821907,0.23396105623217808
CH,2022,165,0.2787878787878788,0.07272727272727272,0.016038943767821907,0.2627489350200569
CH,2023,200,0.1,0.055,0.016038943767821907,0.0839610562321781
CH,2024,254,0.24015748031496062,0.1141732283464567,0.016038943767821907,0.2241185365471387
CH,2025,274,0.4306569343065693,0.040145985401459854,0.016038943767821907,0.4146179905387474
CN,2007,17,0.17647058823529413,0,0.04003859738106873,0.13643199085422542
CN,2008,8,0.25,0.25,0.04003859738106873,0.20996140261893126
CN,2010,6,0.3333333333333333,0,0.04003859738106873,0.2932947359522646
CN,2011,17,0.47058823529411764,0.4117647058823529,0.04003859738106873,0.4305496379130489
CN,2012,34,0.2647058823529412,0.058823529411764705,0.04003859738106873,0.22466728497187244
CN,2013,5,0.2,0.2,0.04003859738106873,0.15996140261893127
CN,2014,36,0.08333333333333333,0.08333333333333333,0.04003859738106873,0.0432947359522646
CN,2015,47,0.14893617021276595,0.0851063829787234,0.04003859738106873,0.10889757283169722
CN,2016,33,0.18181818181818182,0.12121212121212122,0.04003859738106873,0.14177958443711308
CN,2017,89,0.3146067415730337,0.11235955056179775,0.04003859738106873,0.27456814419196496
CN,2018,90,0.2,0.06666666666666667,0.04003859738106873,0.15996140261893127
CN,2019,356,0.25280898876404495,0.1151685393258427,0.04003859738106873,0.2127703913829762
CN,2020,205,0.34146341463414637,0.1902439024390244,0.04003859738106873,0.3014248172530776
CN,2021,430,0.36046511627906974,0.1372093023255814,0.04003859738106873,0.320426518898001
CN,2022,488,0.29713114754098363,0.25614754098360654,0.04003859738106873,0.2570925501599149
CN,2023,563,0.2522202486678508,0.16518650088809947,0.04003859738106873,0.21218165128678207
CN,2024,1248,0.3301282051282051,0.19310897435897437,0.04003859738106873,0.2900896077471364
CN,2025,1698,0.3498233215547703,0.18904593639575973,0.04003859738106873,0.30978472417370156
DE,2007,38,0.7631578947368421,0.13157894736842105,0.060098101676883016,0.7030597930599591
DE,2008,97,0.32989690721649484,0.030927835051546393,0.060098101676883016,0.26979880553961183
DE,2009,23,0.30434782608695654,0.30434782608695654,0.060098101676883016,0.24424972441007353
DE,2012,76,0.23684210526315788,0.17105263157894737,0.060098101676883016,0.17674400358627487
DE,2013,112,0.3392857142857143,0.13392857142857142,0.060098101676883016,0.2791876126088313
DE,2014,266,0.2819548872180451,0.17293233082706766,0.060098101676883016,0.22185678554116212
DE,2015,176,0.24431818181818182,0.11363636363636363,0.060098101676883016,0.18422008014129881
