citing_country,citing_year,n_citations,scr_any,scr_majority,expected_scr,excess_scr_any
AE,2015,73,0.1643835616438356,0.1232876712328767,0.0021278043409682745,0.16225575730286734
AE,2017,2,0,0,0.0021278043409682745,-0.0021278043409682745
AE,2020,13,0.3076923076923077,0,0.0021278043409682745,0.30556450335133944
AE,2021,8,0.125,0.125,0.0021278043409682745,0.12287219565903172
AE,2023,7,0.42857142857142855,0,0.0021278043409682745,0.4264436242304603
AE,2024,106,0.42452830188679247,0.02830188679245283,0.0021278043409682745,0.4224004975458242
AE,2025,72,0.4722222222222222,0.05555555555555555,0.0021278043409682745,0.47009441788125395
AR,2016,5,0,0,0.0016762644662860536,-0.0016762644662860536
AR,2017,4,0,0,0.0016762644662860536,-0.0016762644662860536
AR,2018,5,0,0,0.0016762644662860536,-0.0016762644662860536
AR,2020,1,0,0,0.0016762644662860536,-0.0016762644662860536
AR,2021,14,0,0,0.0016762644662860536,-0.0016762644662860536
AR,2022,35,0.2571428571428571,0,0.0016762644662860536,0.25546659267657107
AR,2023,6,0.3333333333333333,0.3333333333333333,0.0016762644662860536,0.33165706886704727
AR,2024,5,0.2,0.2,0.0016762644662860536,0.19832373553371396
AR,2025,46,0.6086956521739131,0.08695652173913043,0.0016762644662860536,0.607019387707627
AT,2007,6,0.3333333333333333,0,0.010026659409039457,0.32330667392429385
AT,2008,52,0.28846153846153844,0.038461538461538464,0.010026659409039457,0.278434879052499
AT,2009,60,0.6666666666666666,0.1,0.010026659409039457,0.6566400072576272
AT,2011,34,0.058823529411764705,0.058823529411764705,0.010026659409039457,0.04879687000272525
AT,2012,2,0,0,0.010026659409039457,-0.010026659409039457
AT,2013,29,0.13793103448275862,0.13793103448275862,0.010026659409039457,0.12790437507371916
AT,2014,61,0.13114754098360656,0.09836065573770492,0.010026659409039457,0.1211208815745671
AT,2015,3,0.6666666666666666,0.3333333333333333,0.010026659409039457,0.6566400072576272
AT,2016,87,0.21839080459770116,0.09195402298850575,0.010026659409039457,0.2083641451886617
AT,2017,123,0.2601626016260163,0.024390243902439025,0.010026659409039457,0.2501359422169768
AT,2018,139,0.2446043165467626,0.18705035971223022,0.010026659409039457,0.23457765713772313
AT,2019,85,0.3764705882352941,0.07058823529411765,0.010026659409039457,0.36644392882625465
AT,2020,105,0.4857142857142857,0.12380952380952381,0.010026659409039457,0.47568762630524625
AT,2021,142,0.22535211267605634,0.04929577464788732,0.010026659409039457,0.21532545326701688
AT,2022,71,0.22535211267605634,0.14084507042253522,0.010026659409039457,0.21532545326701688
AT,2023,61,0.19672131147540983,0.06557377049180328,0.010026659409039457,0.18669465206637037
